Item,Quantity,Reference,Value,,,,PCB Footprint
1,1,C7,1uF,,,,C0402
2,4,"C8,C10,C14,C16",12pF,,,,C0402
3,2,"C9,C134",10uF,,,,C0402
4,1,C11,0.1uF,,,,C0402
5,2,"C12,C21",100pF,,,,C0402
6,4,"C15,C26,C27,C127",0.1uF,,,,C0402
7,1,C18,100uF,,,,C1206
8,8,"C19,C32,C33,C121,C124,C126,C135,C138",0.1uF,,,,C0402
9,1,C35,10uF,,,,C0402
10,1,C88,22pF,,,,C0402
11,1,C119,1uF,,,,C0402
12,1,C120,1uF,,,,C0402
13,3,"C128,C129,C130",33pF,,,,C0402
14,1,C131,100nf,,,,C0402
15,1,C133,150 µF,,,,CAPMP7P6X4P3_3P1N_KEM
16,2,"C136,C137",22uF,,,,C0603
17,1,C140,0.1uF,,,,C0402
18,1,C141,10pF,,,,C0402
19,1,D43,LS R976-NR-1,,,,led0402_2a
20,1,D47,LG R971-KN-1,,,,led0402_2a
21,1,E1,2450AT18A100E,,,,ANT_2450AT18A100E
22,1,E2,U.FL Connector,,,,CONN_-SMT-1_01
24,1,J1022,L-KLS1-SIM-092-7P-H1.4-R,,,,KLS_L-KLS1-SIM-092-7P-H1P4-R
28,1,LF1,2450FM07A0029,,,,FIL0402
29,1,L1,10uH,,,,L0603
30,1,L2,15nH,,,,L0402
31,1,L3,2.2uH,,,,ind_xgl4030_coc
32,4,"Q16,Q26,Q28,Q29","PMBT2222A,215",,,,SOT23-R
33,1,Q25,MOSFET_EP_GDS,,,,SOT23-R
34,7,"R14,R31,R204,R220,R251,R253,R265",10K,,,,R0402
35,4,"R28,R221,R222,R223",0E,,,,R0402
36,1,R32,100K,,,,R0402
37,2,"R41,R266",0E,,,,R0402
38,1,R175,1K,,,,R0402
39,2,"R193,R247",360E,,,,R0402
40,2,"R248,R252",2.2K,,,,R0402
41,3,"R254,R270,R271",0,,,,R0402
42,1,R255,560K,,,,R0402
43,1,R256,86.6K,,,,R0402
44,2,"R259,R261",4.7K,,,,R0402
45,2,"R263,R267",100k,,,,R0402
46,1,R264,20K,,,,R0402
47,2,"R268,R269",0E,,,,R0402
48,2,"R275,R276",1k,,,,R0402
49,1,R277,0,,,,R0402
50,1,SW4,SW_REED,,,,CT10-xxxx-G1_COT
51,2,"SW5,SW6",SW_PB_SPST,,,,TACTILE_SWITCH_3X4X2MM_SMD_2-PIN
62,1,U4,AT25XE041D-MAHN-T,,,,PSON50P200X300X60-9N
63,1,U25,TXU0204BQAR,,,,wqfn_04bqar_tex-m
64,1,U28,BC65,,,,BC65_QWS
65,1,U39,TLV70333DBVR,,,,DBV0005A_N
66,1,U40,ST4SIM-200M,,,,SON127P600x500x100-9N
67,1,U41,82402305,,,,DBV6_TEX
68,1,U42,NRF52810-QCAA-T,,,,QFN32_5X5_NOR
69,1,U43,TLV61070A,,,,sot23-6
70,1,U45,BVSS123LT1G,,,,SOT-23-3_1P4X3P040_ONS
71,1,U46,TMUX1309BQBR,,,,WQFN_309BQBR_TEX
72,1,Y1,32MHz,,,,XTAL160X120X50-4N
73,1,Y2,32.768kHz,,,,XTAL200X120X60-2N
