Quantity,Reference,Value,PCB Footprint,Part Number,Manufacturer,Description,Part Number_alternative,Manufacturer_alternative
1,C7,1UF,C0402,CC0402ZRY5V6BB105,YAGEO,CAP CER 1UF 10V Y5V 0402,"CC0402ZRY5V6BB105, CGB2A1JB1E105M033BC","YAGEO, Yageo, Murata Electronics, TDK Corporation"
4,"C8,C10,C14,C16",12PF,C0402,C0402C120G5GAC7867,KEMET,CAP CER 12PF 50V C0G/NP0 0402,"C0402C120G5GAC7867, CC0402JRNPO9BN120","KEMET, YAGEO"
2,"C9,C134",10UF,C0402,CL05A106MP5NUNC,Samsung Electro-Mechanics,CAP CER 10UF 10V X5R 0402,"CL05A106MP5NUNC, CL05A106MP8NUB8, CL05A106MQ5NUNC",Samsung Electro-Mechanics
1,C11,0.1UF,C0402,C0402C104K8RACTU,KEMET,CAP CER 0.1UF 10V X7R 0402,C0402C104K8RACTU,"KEMET, kEMET"
2,"C12,C21",100PF,C0402,885012005013,WÃ¼rth Elektronik,CAP CER 100PF 10V C0G/NP0 0402,"885012000000, 885012005013",WÃ¼rth Elektronik
4,"C15,C26,C27,C127",0.1UF,C0402,C0402C104K8RACTU,KEMET,CAP CER 0.1UF 10V X7R 0402,C0402C104K8RACTU,"KEMET, kEMET"
1,C18,100UF,C1206,GRM31CD80J107MEA8K,Murata Electronics,CAP CER 100UF 6.3V X6T 1206,GRM31CD80J107MEA8K,Murata Electronics
8,"C19,C32,C33,C121,C124,C126,C135,C138",0.1UF,C0402,C0402C104K8RACTU,KEMET,CAP CER 0.1UF 10V X7R 0402,C0402C104K8RACTU,"KEMET, kEMET"
1,C35,10UF,C0402,CL05A106MP5NUNC,Samsung Electro-Mechanics,CAP CER 10UF 10V X5R 0402,"CL05A106MP5NUNC, CL05A106MP8NUB8, CL05A106MQ5NUNC",Samsung Electro-Mechanics
1,C88,22PF,C0402,CC0402JPNPO9BN220,YAGEO,CAP CER 22PF 50V C0G/NPO 0402,CC0402JPNPO9BN220,YAGEO
1,C119,1UF,C0402,CC0402ZRY5V6BB105,YAGEO,CAP CER 1UF 10V Y5V 0402,"CC0402ZRY5V6BB105, CGB2A1JB1E105M033BC","YAGEO, Yageo, Murata Electronics, TDK Corporation"
1,C120,1UF,C0402,CC0402ZRY5V6BB105,YAGEO,CAP CER 1UF 10V Y5V 0402,"CC0402ZRY5V6BB105, CGB2A1JB1E105M033BC","YAGEO, Yageo, Murata Electronics, TDK Corporation"
3,"C128,C129,C130",33PF,C0402,CL05C330JB51PNC,Samsung Electro-Mechanics,CAP CER 33PF 50V NP0 0402,"CC0402JPNPO9BN330, CL05C330JB51PNC","Samsung Electro-Mechanics, YAGEO"
1,C131,100NF,C0402,CL05A106MQ5NUNC,Samsung Electro-Mechanics,10 ÂµF Â±20% 6.3V Ceramic Capacitor X5R 0402 (1005 Metric),CL05A106MQ5NUNC,Samsung Electro-Mechanics
1,C133,150 ΜF,CAPMP7P6X4P3_3P1N_KEM,nan,,,nan,
2,"C136,C137",22UF,C0603,CC0603KRX5R7BB105,Samsung Electro-Mechanics,CAP CER 1UF 16V X5R 0603,CC0603KRX5R7BB105,Samsung Electro-Mechanics
1,C140,0.1UF,C0402,C0402C104K8RACTU,KEMET,CAP CER 0.1UF 10V X7R 0402,C0402C104K8RACTU,"KEMET, kEMET"
1,C141,10PF,C0402,0402N301J500CT,Walsin Technology Corporation,"300 pF Â±5% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)",0402N301J500CT,Walsin Technology Corporation
1,D43,LS R976-NR-1,LED0402_2A,XZMDK68W-2,SunLED,Red 630nm LED Indication - Discrete 1.95V 0402 (1005 Metric),XZMDK68W-2,SunLED
1,D47,LG R971-KN-1,LED0402_2A,XZMDK68W-2,SunLED,Red 630nm LED Indication - Discrete 1.95V 0402 (1005 Metric),XZMDK68W-2,SunLED
1,E1,2450AT18A100E,ANT_2450AT18A100E,2450AT18A100E,Johanson Technology Inc.,2.4GHz Chip RF Antenna 2.4GHz ~ 2.5GHz 0.5dBi Solder Surface Mount,2450AT18A100E,Johanson Technology Inc.
1,E2,U.FL CONNECTOR,CONN_-SMT-1_01,KLS1-IPEX-20279-001E-01,KLSELE,KLS1-IPEX MHF series micro coaxial connector receptacle vertical,KLS1-IPEX-20279-001E-01,KLSELE
1,J1022,L-KLS1-SIM-092-7P-H1.4-R,KLS_L-KLS1-SIM-092-7P-H1P4-R,L-KLS1-SIM-092-7P-H1.4-R,KLSELE,NANO SIM PUSH-PULL 6P 1.44MM H G,L-KLS1-SIM-092-7P-H1.4-R,KLSELE
1,LF1,2450FM07A0029,FIL0402,2450FM07A0029T,Johanson Technology Inc.,RF FILTR LO PASS 2.4-2.5GHZ 0402,2450FM07A0029T,Johanson Technology Inc.
1,L1,10UH,L0603,LBR2012T100K,Taiyo Yuden,10 ÂµH Unshielded Wirewound Inductor 150 mA 360mOhm 0805 (2012 Metric),"LBR2012T100K, LQM18FN100M00D, MLZ1608M100WT000","Taiyo Yuden, TDK Corporation, Murata Electronics"
1,L2,15NH,L0402,CI100505-15NJ,Bourns Inc.,15 nH Unshielded Multilayer Inductor 200 mA 460mOhm Max 0402 (1005 Metric),"CI100505-15NJ, L-07C15NJV6T, LQG15HZ15NJ02D","Bourns Inc., Murata Electronics, Johanson Technology Inc."
1,L3,2.2UH,IND_XGL4030_COC,XGL4030-222MEC,Coilcraft,Inductor Power Shielded Wirewound 2.2 ÂµH 20% 1,XGL4030-222MEC,Coilcraft
4,"Q16,Q26,Q28,Q29","PMBT2222A,215",SOT23-R,"PMBT2222A,215",Nexperia USA Inc.,Bipolar (BJT) Transistor NPN 30 V 600 mA 300MHz 250 mW Surface Mount TO-236AB,"PMBT2222A,215",Nexperia USA Inc.
1,Q25,MOSFET_EP_GDS,SOT23-R,DMP2123LQ-7,Diodes Incorporated,P-Channel 20 V 3A (Ta) 1.4W (Ta) Surface Mount SOT-23-3,DMP2123LQ-7,Diodes Incorporated
7,"R14,R31,R204,R220,R251,R253,R265",10K,R0402,ERJ-2RKF1002X,Panasonic Electronic Components,RES SMD 10K OHM 1% 1/10W 0402,ERJ-2RKF1002X,"Panasonic Electronic Components, Yageo"
4,"R28,R221,R222,R223",0E,R0402,RC0402JR-070RP,YAGEO,RES SMD 0 OHM JUMPER 1/16W 0402,"AC0402FR-070RL, ERJ-2GE0R00X, RC0402JR-070RP","YAGEO, Panasonic Electronic Components"
1,R32,100K,R0402,ERJ-2RKF1003X,Panasonic Electronic Components,RES SMD 100K OHM 1% 1/10W 0402,ERJ-2RKF1003X,Panasonic Electronic Components
