Quantity,Reference,Value,PCB Footprint,Part Number,Manufacturer,Description
1,C7,1UF,C0402,,,
4,"C8,C10,C14,C16",12PF,C0402,,,
2,"C9,C134",10UF,C0402,,,
1,C11,0.1UF,C0402,,,
2,"C12,C21",100PF,C0402,,,
4,"C15,C26,C27,C127",0.1UF,C0402,,,
1,C18,100UF,C1206,,,
8,"C19,C32,C33,C121,C124,C126,C135,C138",0.1UF,C0402,,,
1,C35,10UF,C0402,,,
1,C88,22PF,C0402,,,
1,C119,1UF,C0402,,,
1,C120,1UF,C0402,,,
3,"C128,C129,C130",33PF,C0402,,,
1,C131,100NF,C0402,,,
1,C133,150 ΜF,CAPMP7P6X4P3_3P1N_KEM,,,
2,"C136,C137",22UF,C0603,,,
1,C140,0.1UF,C0402,,,
1,C141,10PF,C0402,,,
1,D43,LS R976-NR-1,LED0402_2A,,,
1,D47,LG R971-KN-1,LED0402_2A,,,
1,E1,2450AT18A100E,ANT_2450AT18A100E,2450AT18A100E,Johanson Technology Inc.,2.4GHz Chip RF Antenna 2.4GHz ~ 2.5GHz 0.5dBi Solder Surface Mount
1,E1,2450AT18A100E,ANT_2450AT18A100E,2450AT18A100E,Johanson Technology Inc.,RF ANT 2.4GHZ CHIP SOLDER SMD
1,E1,2450AT18A100E,ANT_2450AT18A100E,2450AT18A100E,Johanson Technology Inc.,RF ANT 2.4GHZ CHIP SOLDER SMD
1,E1,2450AT18A100E,ANT_2450AT18A100E,2450AT18A100E,Johanson Technology Inc.,RF ANT 2.4GHZ CHIP SOLDER SMD
1,E1,2450AT18A100E,ANT_2450AT18A100E,2450AT18A100E,Johanson Technology Inc.,Antennas 2.45GHz ANTENNA
1,E2,U.FL CONNECTOR,CONN_-SMT-1_01,,,
1,J1022,L-KLS1-SIM-092-7P-H1.4-R,KLS_L-KLS1-SIM-092-7P-H1P4-R,L-KLS1-SIM-092-7P-H1.4-R,KLSELE,NANO SIM PUSH-PULL 6P 1.44MM H G
1,J1022,L-KLS1-SIM-092-7P-H1.4-R,KLS_L-KLS1-SIM-092-7P-H1P4-R,L-KLS1-SIM-092-7P-H1.4-R,KLSELE,NANO SIM PUSH-PULL 6P 1.44MM H G
1,LF1,2450FM07A0029,FIL0402,2450FM07A0029T,Johanson Technology Inc.,RF FILTR LO PASS 2.4-2.5GHZ 0402
1,LF1,2450FM07A0029,FIL0402,2450FM07A0029T,Johanson Technology Inc.,Signal Conditioning 2400-2500MHz 0.8dB NORDIC NRF52
1,L1,10UH,L0603,,,
1,L2,15NH,L0402,,,
1,L3,2.2UH,IND_XGL4030_COC,,,
4,"Q16,Q26,Q28,Q29","PMBT2222A,215",SOT23-R,"PMBT2222A,215",Nexperia USA Inc.,Bipolar (BJT) Transistor NPN 30 V 600 mA 300MHz 250 mW Surface Mount TO-236AB
4,"Q16,Q26,Q28,Q29","PMBT2222A,215",SOT23-R,"PMBT2222A,215",Nexperia USA Inc.,Bipolar (BJT) Transistor NPN 30 V 600 mA 300MHz 250 mW Surface Mount TO-236AB
4,"Q16,Q26,Q28,Q29","PMBT2222A,215",SOT23-R,"PMBT2222A,215",Nexperia USA Inc.,Bipolar (BJT) Transistor NPN 30 V 600 mA 300MHz 250 mW Surface Mount TO-236AB
4,"Q16,Q26,Q28,Q29","PMBT2222A,215",SOT23-R,"PMBT2222A,215",Nexperia USA Inc.,Bipolar (BJT) Transistor NPN 30 V 600 mA 300MHz 250 mW Surface Mount TO-236AB
4,"Q16,Q26,Q28,Q29","PMBT2222A,215",SOT23-R,"PMBT2222A,215",Nexperia USA Inc.,Bipolar (BJT) Transistor NPN 30 V 600 mA 300MHz 250 mW Surface Mount TO-236AB
4,"Q16,Q26,Q28,Q29","PMBT2222A,215",SOT23-R,"PMBT2222A,215",Nexperia USA Inc.,Bipolar (BJT) Transistor NPN 30 V 600 mA 300MHz 250 mW Surface Mount TO-236AB
1,Q25,MOSFET_EP_GDS,SOT23-R,DMP2123LQ-7,Diodes Incorporated,P-Channel 20 V 3A (Ta) 1.4W (Ta) Surface Mount SOT-23-3
7,"R14,R31,R204,R220,R251,R253,R265",10K,R0402,ERJ-2RKF1002X,Panasonic Electronic Components,RES SMD 10K OHM 1% 1/10W 0402
7,"R14,R31,R204,R220,R251,R253,R265",10K,R0402,ERJ-2RKF1002X,Panasonic Electronic Components,RES SMD 10K OHM 1% 1/10W 0402
7,"R14,R31,R204,R220,R251,R253,R265",10K,R0402,ERJ-2RKF1002X,Panasonic Electronic Components,RES SMD 10K OHM 1% 1/10W 0402
